species	group	genome_size	hcn	map_length	sexual_system	size	num_markers	parpath	data_source	genus	log10_size
Fusarium verticillioides	fungi	0.0418449	11	21.88	parthenogenic	NA	NA	TRUE	Stapley et al (2017)	Fusarium	NA
Gadus morhua	animal	0.90954	23	14.2192	gonochorous	1	924	FALSE	Stapley et al (2017)	Gadus	0
Gallus gallus	animal	1.23026	35	27.622	gonochorous	0.62	NA	FALSE	Stapley et al (2017)	Gallus	-0.20760831050174613
Gasterosteus aculeatus	animal	0.62592	22	19.8074	gonochorous	0.051	19372	FALSE	Stapley et al (2017)	Gasterosteus	-1.2924298239020637
Gentiana scabra	plant	5	13	6.1370000000000005	NA	0.3	NA	FALSE	Stapley et al (2017)	Gentiana	-0.5228787452803376
Globodera rostochiensis	animal	0.0958763	9	4.31	gonochorous	1.025e-4	62	TRUE	Stapley et al (2017)	Globodera	-3.989276134608227
Glycine max	plant	1.10514	20	24.458000000000002	NA	1	NA	FALSE	Stapley et al (2017)	Glycine	0
Gossypium barbadense	plant	2.69439	26	51.156000000000006	NA	3	NA	FALSE	Stapley et al (2017)	Gossypium	0.47712125471966244
Gossypium hirsutum	plant	2.3472	26	40.7198	NA	2	NA	FALSE	Stapley et al (2017)	Gossypium	0.3010299956639812
Gossypium raimondii	plant	1.101228	13	23.25	NA	2.5	NA	FALSE	Stapley et al (2017)	Gossypium	0.3979400086720376
Gossypium tomentosum	plant	2.38632	26	33.208	NA	2.25	NA	FALSE	Stapley et al (2017)	Gossypium	0.3521825181113625
Haliotis diversicolor	animal	1.4181	16	21.901	NA	0.055	2200	FALSE	Stapley et al (2017)	Haliotis	-1.2596373105057561
Haliotis midae	animal	1.39854	18	10.38	NA	0.16	186	FALSE	Stapley et al (2017)	Haliotis	-0.7958800173440752
Haplochromis chilotes	animal	1.0758	22	12.2568	NA	0.148	867	FALSE	Stapley et al (2017)	Haplochromis	-0.8297382846050426
Haplochromis sauvagei	animal	1.0758	22	11.3063	NA	0.105	1687	FALSE	Stapley et al (2017)	Haplochromis	-0.978810700930062
Helianthus annuus	plant	2.37654	17	24.72	NA	1.9812	NA	FALSE	Stapley et al (2017)	Helianthus	0.29692831931041846
Heliconius melpomene	animal	0.2934	21	13.6423	gonochorous	0.037	919	FALSE	Stapley et al (2017)	Heliconius	-1.431798275933005
Heterodera glycines	animal	0.081908	9	5.39	gonochorous	0.0013	131	TRUE	Stapley et al (2017)	Heterodera	-2.886056647693163
Hevea brasiliensis	plant	2.1026999999999996	18	41.6	NA	43	NA	FALSE	Stapley et al (2017)	Hevea	1.6334684555795864
Hibiscus cannabinus	plant	1.49634	18	49.248000000000005	NA	2.5	NA	FALSE	Stapley et al (2017)	Hibiscus	0.3979400086720376
Hieracium mixtum	plant	4.0587	18	16.5	NA	0.375	NA	FALSE	Stapley et al (2017)	Hieracium	-0.42596873227228116
Hippoglossus hippoglossus	animal	0.71394	24	15.14	gonochorous	2	5703	FALSE	Stapley et al (2017)	Hippoglossus	0.3010299956639812
Hordeum vulgare	plant	5.4181	7	9.2707	NA	0.9144	NA	FALSE	Stapley et al (2017)	Hordeum	-0.03886378261277468
Humulus lupulus	plant	2.8362	10	7.459	NA	10	NA	FALSE	Stapley et al (2017)	Humulus	1
Hyla aborea	animal	4.64969	12	17.70722	gonochorous	0.04191	1534	FALSE	Stapley et al (2017)	Hyla	-1.3776823391661557
Hypophthalmichthys molitrix	animal	0.978	24	15.610999999999999	gonochorous	0.18	703	FALSE	Stapley et al (2017)	Hypophthalmichthys	-0.744727494896694
Hyriopsis cumingii	animal	3	19	27.13	NA	0.14	4983	FALSE	Stapley et al (2017)	Hyriopsis	-0.8538719643217619
Ictalurus punctatus	animal	0.993648	29	32.4	gonochorous	0.57	26238	FALSE	Stapley et al (2017)	Ictalurus	-0.24412514432750865
Ipomoea batatas	plant	1.83375	90	81.845	NA	0.2286	NA	FALSE	Stapley et al (2017)	Ipomoea	-0.6409237739407371
Ixodes scapularis	animal	1.76538	15	6.16	gonochorous	0.003	127	FALSE	Stapley et al (2017)	Ixodes	-2.5228787452803374
Jatropha curcas	plant	0.42054	11	16.558	NA	6	NA	FALSE	Stapley et al (2017)	Jatropha	0.7781512503836436
Juglans regia	plant	0.60636	16	24.578200000000002	NA	30	NA	FALSE	Stapley et al (2017)	Juglans	1.4771212547196624
